tissue_or_cell_type,synonym
"ebv-transformed lymphoblastoid cells","b lymphocytes"
"episcs","epiblasts"
"trophectoderm","trophoblasts"
"bat","brown adipose tissue"
"left thigh","thigh"
"normal cells of the uterine cervix art2572","uterine cervix"
"breast cancer bone  metastasis","breast neoplasms"
"umbilical vein epithelial cells","epithelial cells"
"ipscs","induced pluripotent stem cells"
"escs","embryonic stem cell"
"3t3-l1 pre-adipocyte","adipocyte"
"lung cells","lung"
"flowers","flower"
"cd8 t cell","cd8-positive t-lymphocyte"
"embryonic stem cell, differentiated;spontaneous.day3","embryonic stem cell"
"skeletal muscle, iibialis anterior","skeletal muscle"
"blastocyst","blastocyst"
"rbc nrbc","erythrocyte"
"pgc","germ cells"
"cells of the uterine cervix 570","uterine cervix"
"intestine","intestine"
"normal cells of the uterine cervix art6305","uterine cervix"
"testicle","testis"
"3t3-l1 adipocytes","adipocyte"
"frontal lobe brain","frontal lobe"
"wilms tumour","nephroblastoma"
"cells of the uterine cervix 5211","uterine cervix"
"erya cells","erythrocyte"
"pdc","UNKNOWN"
"es-derived human musculoskeletal stem cells","mesenchymal stem cells"
"hips_29e_p32","induced pluripotent stem cells"
"epithelium","epithelium"
"testis of single-housed males at 8 wph","testis"
"rectal_mucosa","intestinal mucosa"
"aorta_abdominal","abdominal aorta"
"clp","lymphoid stem cells"
"normal cells of the uterine cervix art2367","uterine cervix"
"entorhinal cortex","entorhinal cortex"
"hesc-derived neuroectoderm cells","neuroectoderm"
"hepatopancreas","hepatopancreas"
"human aortic endothelial cells","endothelial cells"
"breast cancer cells","breast neoplasms"
"nk cell","natural killer cells"
"cordblood","cord blood"
"cervix adenocarcinoma clells","cervical neoplasms"
"myometrium","myometrium"
"normal cells of the uterine cervix art584","uterine cervix"
"mouse embryonic stem cell","embryonic stem cell"
"postmortem whole brain","brain"
"cd8 t-cells","cd8-positive t-lymphocyte"
"somatic.primary","tissue"
"mii oocyte","oocyte"
"sodium heparin plasma","plasma"
"saliva","saliva"
"short term hematopoietic stem cell (st-hsc)","hematopoietic stem cell"
"adipose stromal cells","mesenchymal stem cells"
"normal cells of the uterine cervix art357","uterine cervix"
"lung tumor","lung neoplasms"
"quadriceps","quadriceps femoris"
"whole body of group-housed males at 17 dph","whole organism"
"worm","whole organism"
"gastric_mucosa","gastric mucosa"
"normal cells of the uterine cervix art10742","uterine cervix"
"tumor tissue in pancreatic cancer sample","pancreatic neoplasms"
"salivary glands","salivary gland"
"normal cells of the uterine cervix art19707","uterine cervix"
"brain, middle","midbrain"
"liver biopsy","liver"
"whole embryo","embryo"
"k562","leukemia, chronic myelogenous"
"cervix","cervix"
"cells of the uterine cervix 1853","uterine cervix"
"cd4 t-cells","cd4-positive t-lymphocytes"
"breast cancer lung  metastasis","breast neoplasms"
"esophageal squamous cell carcinoma","esophageal squamous cell carcinoma"
"skin","skin"
"testes","testis"
"breast cancer local metastasis in the breast","breast neoplasms"
"breast cancer tumor","breast neoplasms"
"normal cells of the uterine cervix art2036","uterine cervix"
"np cells","neural stem cells"
"hes_hues1_p29","embryonic stem cell"
"human brest cancer cell line","breast neoplasms"
"cells of the uterine cervix 3356","uterine cervix"
"epc","endothelial progenitor cells"
"hind brain","hindbrain"
"fshd2 myoblasts","myoblasts"
"lung cd4+ t cells","cd4-positive t-lymphocytes"
"cells of the uterine cervix 3016","uterine cervix"
"ec","endothelial cells"
"normal cells of the uterine cervix art10658","uterine cervix"
"cells of the uterine cervix 4489","uterine cervix"
"splenic_artery","splenic artery"
"putamen","putamen"
"normal cells of the uterine cervix art13004","uterine cervix"
"adult bone marrow","bone marrow"
"cd14 monocytes","monocyte"
"metathoracic ganglia (mtg)","ganglia"
"normal cells of the uterine cervix art778","uterine cervix"
"tail","tail"
"intratumoral cd45+cd3+cd4+ t cells","t lymphocytes"
"gastrocnemius","gastrocnemius muscle"
"fshd1 muscle biopsy","muscle"
"oligodendrocyte","oligodendrocyte"
"whole body","whole organism"
"mucosa","mucosa"
"heart (apex of left ventricle)","heart"
"whole body of single-housed females at 17 dph","whole organism"
"fetal intestine","intestine"
"dermal fibroblast","fibroblast"
"pbl","lymphocyte"
"tibialis anterior","skeletal muscle"
"3t3-l1 pre-adipocytes and adipocytes","adipocyte"
"mesenchymal stromal cell","mesenchymal stromal cells"
"leaves","plant leaves"
"breast cancer regional lymph node metastasis","breast neoplasms"
"10 day seedlings","seedling"
"first ear leaf","plant leaves"
"cd45-pecam1+ thymic stroma cells","stromal cells"
"ovary of single-housed males at 11 wph","ovary"
"nuclei of brain","brain"
"size-selected genomic dna","UNKNOWN"
"whole body of single-housed males at 11 dph","whole organism"
"heb16d_hues8_p40","embryonic stem cell"
"skin fibroblast","fibroblast"
"3t3-l1 adipocyte","adipocyte"
"normal cells of the uterine cervix art17144","uterine cervix"
"es-cells","embryonic stem cell"
"50% human blood, 50% mouse spleen","UNKNOWN"
"soleus muscle","soleus muscle"
"normal cells of the uterine cervix art10417","uterine cervix"
"normal cells of the uterine cervix art8269","uterine cervix"
"gastric tumor tissue","stomach neoplasms"
"stomach","stomach"
"cd4+ yfp-foxp3+ cd25+ cells","cd4-positive t-lymphocytes"
"normal cells of the uterine cervix art5441","uterine cervix"
"col2a1+ growth plate chondrocytes (tdtomato+)","chondrocytes"
"myeloid leukemia","myeloid leukemia"
"normal cells of the uterine cervix art11552","uterine cervix"
"hes_hues8_p27","embryonic stem cell"
"neck","neck"
"normal cells of the uterine cervix art20151","uterine cervix"
"hesc","embryonic stem cell"
"mrc-5 fibroblasts","fibroblast"
"100% human blood","blood"
"prec","erythroid precursor cells"
"white adipose tissue","white adipose tissue"
"mef","fibroblast"
"whole blood cells","blood cells"
"dorsal root ganglia","dorsal root ganglion"
"lung cancer cell lines","lung neoplasms"
"breast tumor tissue","breast neoplasms"
"posterior leg","leg"
"normal cells of the uterine cervix art1077","uterine cervix"
"ovary of group-housed males at 5 wph","ovary"
"normal cells of the uterine cervix art2604","uterine cervix"
"muscle stem cells","skeletal muscle satellite cells"
"mesenchymal stem cells","mesenchymal stem cells"
"human mesenchymal stem cells","mesenchymal stem cells"
"normal cells of the uterine cervix art6079","uterine cervix"
"heb16d_h9_p65","embryonic stem cell"
"cells of the uterine cervix 1279","uterine cervix"
"interneuron, non-fast spiking","interneuron"
"cells of the uterine cervix 303","uterine cervix"
"cd34+ cells","hematopoietic stem cell"
"cell culture","cell, cultured"
"testis of single-housed males at 3 wph","testis"
"neuronal progenitor (np) cells","neural stem cells"
"normal cells of the uterine cervix art12722","uterine cervix"
"normal cells of the uterine cervix art8610","uterine cervix"
"buccal","cheek"
"total brain cells","brain"
"whole body extracts","whole organism"
"left external oblique","external oblique muscle"
"normal cells of the uterine cervix art19141","uterine cervix"
"normal cells of the uterine cervix art4820","uterine cervix"
"primary astrocytes","astrocytes"
"hes_hues8_p29","embryonic stem cell"
"flag leaf tissue (mature)","plant leaves"
"macrophages","macrophage"
"splenic cdc6","UNKNOWN"
"skeletal muscle","skeletal muscle"
"corneal epithelial cell","epithelial cells"
"u2os","osteosarcoma"
"npc_h9_derived","neural stem cells"
"cells of the uterine cervix 2007","uterine cervix"
"podocytes","podocytes"
"cells of the uterine cervix 617","uterine cervix"
"fctx","cerebral cortex"
"foreskin fibroblast","fibroblast"
"human dermal fibroblasts","fibroblast"
"embryonic stem cell, undifferentiated","embryonic stem cell"
"stomach_smooth_muscle","muscle, smooth"
"e14.5 mouse brain derived neural stem cells","neural stem cells"
"fibroblast","fibroblast"
"posterior caudate","caudate nucleus"
"control brain tissue","brain"
"striatopallidal medium spiny neuron","medium spiny neuron"
"normal cells of the uterine cervix art4090","uterine cervix"
"fshd1 myotubes","myotubes"
"trachea","trachea"
"melanoma","melanoma"
"normal cells of the uterine cervix art5723","uterine cervix"
"imr90 fetal lung fibroblasts","fibroblast"
"adipose_abdominal","abdominal fat"
"human keratinocyte","keratinocyte"
"normal cells of the uterine cervix art4706","uterine cervix"
"bladder","bladder"
"heb16d_15b_p54","embryonic stem cell"
"3t3-l1 pre-adipocytes","adipocyte"
"mixed sample (non-demultiplexed) of ec, fb, and mp","UNKNOWN"
"rosette leaf","plant leaves"
"normal cells of the uterine cervix art15717","uterine cervix"
"old minsc","UNKNOWN"
"hemocytes","hemocyte"
"mixed stage inflorescence","inflorescence"
"normal cells of the uterine cervix art15599","uterine cervix"
"human diploid fibroblast imr-90","fibroblast"
"cells of the uterine cervix 610","uterine cervix"
"osteosarcoma","osteosarcoma"
"cells of the uterine cervix 3446","uterine cervix"
"cells of the uterine cervix 3366","uterine cervix"
"normal cells of the uterine cervix art11513","uterine cervix"
"ovary of single-housed males at 3 wph","ovary"
"blood serum","blood serum"
"hfib2","fibroblast"
"ex vivo b lymphocytes","b lymphocytes"
"normal cells of the uterine cervix art9553","uterine cervix"
"peripheral mononuclear blood cell","leukocytes, mononuclear"
"unopened flower bud","flower"
"left rectus abdominus","rectus abdominis"
"human_blood","blood"
"hfib2-derived ipsc line 5","induced pluripotent stem cells"
"joint_cartilage","articular cartilage"
"splenic cdc3","UNKNOWN"
"lung biopsy","lung"
"conjunctiva","conjunctiva"
"shoots","plant shoots"
"whole body of single-housed females at 11 dph","whole organism"
"pbmcs","leukocytes, mononuclear"
"normal cells of the uterine cervix art12118","uterine cervix"
"human cord blood cd34 (+) cells","cord blood"
"testis of group-housed males at 11 wph","testis"
"75% human blood, 25% mouse fat","UNKNOWN"
"abdominal cavity","abdominal cavity"
"normal cells of the uterine cervix art17029","uterine cervix"
"common lymphoid progenitor (clp)","lymphoid stem cells"
"bj1-derived ipsc line 2","induced pluripotent stem cells"
"cortex neural stem and progenitor cells","neural stem cells"
"mucosal-associated invariant t (mait) cells","mait cells"
"peripheral blood mononuclear cells","leukocytes, mononuclear"
"normal cells of the uterine cervix art519","uterine cervix"
"cells of the uterine cervix 4900","uterine cervix"
"whole body of group-housed males at 28 dph","whole organism"
"normal cells of the uterine cervix art16319","uterine cervix"
"whole body of group-housed females at 17 dph","whole organism"
"normal cells of the uterine cervix art23786","uterine cervix"
"n/a","UNKNOWN"
"whole body of group-housed males at 9 dph","whole organism"
"normal cells of the uterine cervix art16545","uterine cervix"
"5% human blood, 95% mouse spleen","UNKNOWN"
"human umbilical vein endothelial cells","endothelial cells"
"normal cells of the uterine cervix art11608","uterine cervix"
"bone marrow-derived mesenchymal stem cells","mesenchymal stem cells"
"fetal brain","brain"
"orbicularis oris","facial muscle"
"normal cells of the uterine cervix art9887","uterine cervix"
"paracentral neural stem and progenitor cells","neural stem cells"
"control myoblasts","myoblasts"
"lncap","prostatic neoplasms"
"cells of the uterine cervix 2295","uterine cervix"
"testis of group-housed males at 10 wph","testis"
"sperm","sperm"
"hff","fibroblast"
"lymph node","lymph node"
"lung tumour","lung neoplasms"
"msc-ips3","induced pluripotent stem cells"
"hepatic cell line","hepatocytes"
"hes_h1_p37","embryonic stem cell"
"bone marrow","bone marrow"
"human diploid lung fibroblast","fibroblast"
"ambiguous","UNKNOWN"
"seedling","seedling"
"control muscle biopsy","muscle"
"mix cell types from lung","lung"
"cells of the uterine cervix 4268","uterine cervix"
"cirrhotic liver","liver"
"mammary","mammary gland"
"normal cells of the uterine cervix art2270","uterine cervix"
"bone marrow mononuclear cells","bone marrow cells"
"50% human blood, 50% mouse fat","UNKNOWN"
"proximal epiblast","epiblasts"
"whole body of single-housed females at 9 dph","whole organism"
"normal cells of the uterine cervix art60247","uterine cervix"
"granulocyte monocyte progenitor (gmp)","granulocyte-macrophage progenitor cell"
"ear fibroblast","fibroblast"
"adult blood","blood"
"limb muscle","muscle"
"extraembryonic membrane","extraembryonic membrane"
"mrc5 fibroblasts","fibroblast"
"bal fluid","bronchoalveolar lavage fluid"
"normal cells of the uterine cervix art10550","uterine cervix"
"bone marrow cells","bone marrow cells"
"25% human blood, 75% mouse fat","UNKNOWN"
"calf squamous cell carcinoma","squamous cell carcinoma"
"cells of the uterine cervix 3892","uterine cervix"
"larva","larva"
"blastema","blastema"
"cerebellum","cerebellum"
"young skin epithelium","epithelium"
"mature leaves","plant leaves"
"brain","brain"
"normal cells of the uterine cervix art7248","uterine cervix"
"2 week old seedlings","seedling"
"cardiac","heart"
"muscle","muscle"
"normal cells of the uterine cervix art23845","uterine cervix"
"normal cells of the uterine cervix art10395","uterine cervix"
"normal cells of the uterine cervix art12931","uterine cervix"
"peripheral blood mononuclear cell","leukocytes, mononuclear"
"muscle stem","skeletal muscle satellite cells"
"human cell","cells"
"normal cells of the uterine cervix art2167","uterine cervix"
"t cd4+ cells","cd4-positive t-lymphocytes"
"mescs","embryonic stem cell"
"normal cells of the uterine cervix art4486","uterine cervix"
"young shoots","plant shoots"
"esophagus","esophagus"
"normal cells","cells"
"leaf","plant leaves"
"normal cells of the uterine cervix art23545","uterine cervix"
"human skin-precursors-derived hepatocyte-like cells (hskp-hpc)","hepatocyte"
"liver of group-housed males at 14 wph","liver"
"embryonic stem cells","embryonic stem cell"
"cells of the uterine cervix 902","uterine cervix"
"callus","callus"
"cells of the uterine cervix 3418","uterine cervix"
"arm squamous cell carcinoma","squamous cell carcinoma"
"g-mdsc purified from pbmc","myeloid-derived suppressor cells"
"hes_h1_p34","embryonic stem cell"
"es-derived lung fibroblast cells","fibroblast"
"normal cells of the uterine cervix art189","uterine cervix"
"normal cells of the uterine cervix art276","uterine cervix"
"macrophage cells","macrophage"
"erythroleukemia cell line","erythroleukemia"
"normal cells of the uterine cervix art6874","uterine cervix"
"normal cells of the uterine cervix art5458","uterine cervix"
"mesc","embryonic stem cell"
"striatonigral medium spiny neuron","medium spiny neuron"
"neuroretina","retina"
